original_transcription	corrected_spelling	other_variant_1	other_variant_2	other_name	split_compound_1	split_compound_2	split_compound_3
squasch	squash	x	x	x	x	x	x
klemmsteine	x	x	x	x	klemm-	steine	x
stelllampe	stehlampe	x	x	x	x	x	x
tassenhenkel	x	x	x	x	tassen	henkel	x
nasenwaermer	x	x	x	x	nasen	waermer	x
jackette	jackett	x	x	x	x	x	x
wasseraage	wasserwaage	x	x	x	x	x	x
kietsurfen	kitesurfen	x	x	x	x	x	x
sprinklanlage	sprinkleranlage	x	x	x	x	x	x
neonfisch	x	x	x	neonsalmler	neon	fisch	x
clownsfisch	clownfisch	x	x	x	clown	fisch	x
pfandkuchen	pfannkuchen	x	x	x	x	x	x
spetzi	spezi	x	x	x	x	x	x
sardienie	sardine	x	x	x	x	x	x
oblanten	oblaten	x	x	x	x	x	x
pokemonfiguren	x	x	x	x	pokemon	figuren	x
schmetterlingschwimmen	schmetterlingsschwimmen	x	x	x	x	x	x
flamigo	flamingo	x	x	x	x	x	x
schokoladenrosinen	x	x	x	schoko-rosinen	schokolade	rosinen	x
blattheuschrecken	x	x	x	blattschrecken	x	x	x
bueffelmozarrella	bueffelmozzarella	x	x	x	bueffel	mozzarella	x
fensterscheibenkurbel	x	x	x	fensterkurbeln	fensterscheibe	kurbel	x
heckencutter	x	x	x	heckenschere	hecke	cutter	x
schokoschaumkuesse	x	x	x	x	x	x	x
zebrapaerpling	x	x	x	x	zebra	sperling	x
mustkatnuss	muskatnuss	x	x	x	x	x	x
lkw-fahrer	lastkraftwagenfahrer	x	x	lastkraftwagenfahrer	lastkraftwagen	fahrer	x
kokosriegel	x	x	x	x	x	x	x
kanichen	kaninchen	x	x	x	x	x	x
mediumwasser	x	x	x	mineralwasser	medium	wasser	x
baellebahn	x	x	x	x	baelle	bahn	x
legobotstein	legobaustein	x	x	x	lego	baustein	x
fettstifte	x	filzstifte	x	x	fett	stifte	x
zitronenbrausebonbons	zitronenbrausebonbons	zitronenbonbons	x	x	zitronenbrause	bonbons	x
weisserhai	weisser hai	x	x	lamnidae carcharodon	weisser	hai	x
baskettball	basketball	x	x	x	x	x	x
fischermuetze	x	x	x	x	fischer	muetze	x
nachtschranko	nachtschrank	x	x	x	x	x	x
fleischteller	x	wurstteller	x	x	fleisch	teller	x
gieter	x	x	x	giesskanne	x	x	x
kompottschuessel	x	x	x	x	kompott	schuessel	x
cordhemd	x	x	x	x	cord	hemd	x
heckenschrer	heckenschere	x	x	x	x	x	x
cemballo	cembalo	x	x	x	x	x	x
klemmbausteine	x	x	x	x	klemm-	bausteine	x
bungee-jumping	bungeejumping	x	x	x	bungee	jumping	x
honigpomelo	x	x	x	x	honig	pomelo	x
schmelzkeks	x	x	x	butterkeks	schmelz	keks	x
rasenmeher	rasenmaeher	x	x	x	x	x	x
johannesbeerlikoer	johannisbeerlikoer	x	x	x	johannisbeer	likoer	x
halbrundfeile	x	x	x	x	halbrund	feile	x
rasensprenkler	rasensprenger	x	x	x	x	x	x
sitzsaeule	x	x	x	x	sitz	saeule	x
ausklappcouch	x	x	x	klappcouch	x	x	x
wimpernfaerbemittel	x	x	x	x	wimpern	faerbemittel	x
gottesanbeter	x	x	x	x	x	x	x
janelken	x	x	x	nelken	x	x	x
bucherregal	buecherregal	x	x	x	x	x	x
reihenzieher	x	x	x	rechen	reihen	zieher	x
hausfliege	x	x	x	stubenfliege	haus	fliege	x
spriten	sprite	x	x	x	x	x	x
mandalabuch	mandala-buch	x	x	malbuch	mandala	buch	x
tamk	tank	x	x	x	x	x	x
klauenfisch	clownfisch	x	x	x	clown	fisch	x
gruenerteee	x	x	x	gruentee	gruener	tee	x
ananasaft	ananassaft	x	x	x	x	x	x
eukalyptustee	x	x	x	x	eukalyptus	tee	x
klempnerin	x	x	x	klempner	x	x	x
moeren	moehren	x	x	karotten	x	x	x
gastronomiefacharbeiterin	x	x	x	x	gastronomie 	facharbeiter	x
plattpfirsich	x	x	x	flachpfirsich 	platt	pfirsich	x
clownsfische	clownfische	x	x	x	clown	fisch	x
eine spielzeugwerkbank	spielzeugwerkbank	spielwerkbank	x	x	spielzeug	werkbank	x
e guitare	x	x	x	x	elektrische	gitarre	x
bananenweizen	eisensaege	bananenweizenbier	x	x	bananen	weizen	x
johannesbeere	johannisbeere	x	x	x	x	x	x
leoffel	loeffel	x	x	x	x	x	x
aktionfiguren	actionfiguren	action-figuren	x	x	action	figuren	x
antipickelcrem	antipickelcreme	x	x	x	anti-pickel	crème	x
dragonfruits	drachenfrucht	x	x	pitaya	x	x	x
handaussenflaeche	x	x	x	x	hand	aussenflaeche	x
pharmazeutiker	x	x	x	apotheker	x	x	x
arkordeon	akkordeon	x	x	x	x	x	x
kuerschtbaum	kirschbaum	x	x	x	x	x	x
teufels(...)	x	x	x	x	teufel	x	x
smaragdkaefer	x	x	x	smaragdfallkaefer	smaragd	kaefer	x
kalpiko	calpico	x	x	x	calpico	soda	x
gesichtsreinigungsgel	gesichtsreinigungsgel	x	x	x	gesicht	reinigung	gel
kugelwerfen	x	x	x	kugelstossen	kugel	werfen	x
milkaschokolade	x	x	x	vollmilchschokolade	milka	schokolade	x
pommesgewuerz	x	x	x	x	pommes	gewuerz 	x
criquet	cricket	kricket	x	x	x	x	x
baumfaellgeraet	x	x	x	baumfaeller	baum	faell	geraet
pouder	puder	x	x	powder	x	x	x
schreibstuhl	x	x	x	schreibtischstuhl	x	x	x
gluhwein	gluehwein	x	x	x	x	x	x
fruchtsorbet	x	x	x	fruchteis	frucht	sorbet	x
astzerkleinerer	x	x	x	x	ast	zerkleinerer	x
krawlen	kraulen	x	x	kraulschwimmen	x	x	x
dreierhop	x	x	x	dreisprung	x	x	x
lippentusche	x	x	x	lippenstift	x	x	x
skorpionsfisch	skorpionfisch	x	x	x	skorpion	fisch	x
fuchsspanz	fuchsschwanz	x	x	x	x	x	x
hundertfuessler	hundertfuesser	x	x	tausendfuesser	x	x	x
kuehlfluessigkeitsbehaelter	x	x	x	x	kuehlfluessigkeit	behaelter	x
karamellwaffel	x	x	x	x	karamell	waffel	x
traube-	x	x	x	x	traube	x	x
basektball	basketball	x	x	x	x	x	x
sperrwerfen	speerwerfen	x	x	speerwurf	x	x	x
halfterfische	x	x	x	x	halfter	fisch	x
dreierbob	x	x	x	viererbob	x	x	x
lanternfisch	laternenfisch	x	x	myctophidae	laternen	fisch	x
brocolli	broccoli	brokkoli	x	x	x	x	x
stiefe	stiefel	x	x	x	x	x	x
kaenzebluemchen	gaensebluemchen	x	x	x	x	x	x
